date_ymd,time_to_travel_grouping,length_of_stay_grouping,platform_country_code,adv_id,clicks,bookings,booking_rev_EURcent,cost_EURcent
20200701,5,1,KR,56,83,0,0,6702
20201123,41,7,YY,64,11,1,54549,520
20200608,29,15,ES,345,18,0,0,60
20200929,2,7,CL,402,2,0,0,8
20201209,41,1,TW,56,512,32,476264,6356
20200727,15,3,IN,56,10,0,0,20
20201115,8,4,IE,64,4,0,0,227
20200403,41,8,NL,402,3,0,0,22
20200920,41,7,GR,64,4,0,0,43
20200520,41,3,TW,56,15,0,0,83
20200731,8,4,SI,402,17,0,0,66
20201217,0,1,IE,64,15,2,21550,507
20201114,5,1,FI,402,6,0,0,20
20201209,15,2,RS,345,9,0,0,21
20200715,8,1,DK,64,185,0,0,4056
20200727,5,2,DK,402,16,0,0,476
20200909,15,1,PE,58,3,0,0,2
20201213,41,4,IL,64,75,1,78963,3025
20200714,41,7,AA,64,27,0,0,342
20200802,0,7,AE,56,5,0,0,33
20200925,41,8,CH,64,14,0,0,830
20200725,5,1,AA,58,3,0,0,5
20200819,2,1,XX,58,2431,59,742455,89683
20200723,15,7,SE,64,17,1,24895,800
20200704,8,1,GR,56,287,0,0,503
20200415,41,7,FI,402,3,0,0,25
20201002,8,15,XX,64,2,0,0,60
20200903,0,4,CH,64,8,1,113624,1247
20200926,2,1,TR,139,1224,23,68903,5866
20200921,41,3,AE,64,2,0,0,20
20200716,8,2,RO,56,15,0,0,24
20200702,0,2,ES,56,41,0,0,95
20201004,5,1,AT,58,9,0,0,170
20200618,29,3,FI,64,2,1,15642,54
20201008,2,4,MY,64,2,0,0,38
20200728,2,3,US,56,36,0,0,376
20200902,5,1,ES,64,705,9,57721,9356
20200614,5,1,PL,58,12,0,0,9
20200830,0,7,ZZ,64,2,0,0,509
20200622,0,7,US,64,59,5,230384,15820
20200420,15,1,ZZ,64,8,0,0,78
20200524,2,4,ES,64,2,0,0,38
20200811,5,1,CL,402,5,0,0,22
20201225,41,1,US,90,4,0,0,0
20200911,5,1,IL,64,6,0,0,96
20201222,8,15,ZA,64,2,0,0,16
20200817,0,2,IL,402,33,1,30743,130
20200602,41,13,PL,402,9,0,0,57
20200907,0,2,TW,64,29,1,9408,772
20200727,8,8,US,402,2,0,0,51
20200730,5,1,RS,402,69,0,0,269
20200526,15,3,AE,56,2,0,0,10
20200627,2,1,AT,64,95,0,0,1156
20200622,29,7,DK,64,7,0,0,285
20200823,29,8,US,7,16,0,0,1267
20200823,301,3,US,151,7,0,0,441
20200711,8,3,NO,56,3,0,0,28
20201030,0,4,US,58,38,3,118727,5582
20201223,15,4,MY,90,10,0,0,0
20201013,41,2,AE,58,20,0,0,306
20201002,5,4,AE,64,3,0,0,166
20200405,8,1,NL,56,17,0,0,57
20200831,15,1,AA,58,12,0,0,22
20201103,15,3,DK,56,2,0,0,97
20201022,8,7,CL,402,5,0,0,19
20200715,301,4,XX,64,27,0,0,300
20200804,2,7,AT,90,5,0,0,46
20200518,5,4,YY,90,2,0,0,65
20200801,2,1,DK,64,140,9,133291,6052
